keyword,recent_frequency,previous_frequency,growth_rate,trend_score,calculation_date
sự_nghiệp công sử_dụng,14,1,13.0,105.0,2025-05-24
sử_dụng ngân_sách,14,1,13.0,105.0,2025-05-24
sử_dụng ngân_sách nhà_nước,14,1,13.0,105.0,2025-05-24
công sử_dụng ngân_sách,14,1,13.0,105.0,2025-05-24
công sử_dụng,14,1,13.0,105.0,2025-05-24
bảo_hiểm,14,2,6.0,56.0,2025-05-24
f88,16,0,5.0,56.0,2025-05-24
lãi_suất,10,1,9.0,55.0,2025-05-24
quy_định,38,21,0.81,53.38,2025-05-24
sự_nghiệp công,22,6,2.67,51.33,2025-05-24
nghị_định,13,0,5.0,45.5,2025-05-24
trích lập,9,1,8.0,45.0,2025-05-24
trích,12,2,5.0,42.0,2025-05-24
nhà_nước,24,10,1.4,40.8,2025-05-24
dịch_vụ sự_nghiệp công,19,6,2.17,39.58,2025-05-24
nđcp,11,0,5.0,38.5,2025-05-24
quy_định pháp_luật,11,0,5.0,38.5,2025-05-24
pháp_luật,11,2,4.5,35.75,2025-05-24
địa_ốc,10,0,5.0,35.0,2025-05-24
tiền_lương,10,0,5.0,35.0,2025-05-24
sự_nghiệp,26,17,0.53,32.88,2025-05-24
ngân_sách,15,5,2.0,30.0,2025-05-24
thông_tư,7,1,6.0,28.0,2025-05-24
quy_định về,7,1,6.0,28.0,2025-05-24
thẩm_quyền,7,1,6.0,28.0,2025-05-24
dịch_vụ sự_nghiệp,19,10,0.9,27.55,2025-05-24
ngân_sách nhà_nước,14,5,1.8,26.6,2025-05-24
công,23,20,0.15,24.72,2025-05-24
quyết_định,15,7,1.14,23.57,2025-05-24
mức,27,42,-0.36,22.18,2025-05-24
sử_dụng,19,15,0.27,21.53,2025-05-24
dịch_vụ,26,40,-0.35,21.45,2025-05-24
danh_mục dịch_vụ,6,1,5.0,21.0,2025-05-24
khoản vay,6,0,5.0,21.0,2025-05-24
bộ cơ_quan,6,0,5.0,21.0,2025-05-24
lãi,13,6,1.17,20.58,2025-05-24
tăng,30,85,-0.65,20.29,2025-05-24
cổ_phiếu,27,80,-0.66,18.06,2025-05-24
danh_mục,9,3,2.0,18.0,2025-05-24
chi thường_xuyên,5,0,5.0,17.5,2025-05-24
tự_chủ,5,0,5.0,17.5,2025-05-24
hàng_không,5,0,5.0,17.5,2025-05-24
cố_định,5,0,5.0,17.5,2025-05-24
nđcp sửa_đổi,5,0,5.0,17.5,2025-05-24
nhân_dân,5,0,5.0,17.5,2025-05-24
sửa_đổi bổ_sung,5,0,5.0,17.5,2025-05-24
thường_xuyên,5,0,5.0,17.5,2025-05-24
lập,10,4,1.5,17.5,2025-05-24
ủy_ban nhân_dân,5,0,5.0,17.5,2025-05-24
định_mức,5,0,5.0,17.5,2025-05-24
trái_phiếu,7,2,2.5,15.75,2025-05-24
về,21,46,-0.54,15.29,2025-05-24
nhóm,19,32,-0.41,15.14,2025-05-24
vị_trí,5,1,4.0,15.0,2025-05-24
vay,10,5,1.0,15.0,2025-05-24
